timestamp,machine_id,machine_type,power_kw,temperature_c,vibration_hz,pressure_bar,hour_of_day,day_of_week,month,is_anomaly
2024-01-01 00:00:00,CLIM-001,Climatisation,4.67,34.1,5.6,3.7,0,0,1,0
2024-01-01 00:00:00,FRIG-002,Réfrigération,1.58,35.7,4.4,2.99,0,0,1,0
2024-01-01 00:00:00,POMP-003,Pompe Hydraulique,6.29,29.8,26.3,2.98,0,0,1,0
2024-01-01 00:00:00,ELEC-004,Éclairage/Bureautique,0.91,29.6,4.3,2.17,0,0,1,0
2024-01-01 01:00:00,CLIM-001,Climatisation,4.31,30.8,4.5,3.18,1,0,1,0
2024-01-01 01:00:00,FRIG-002,Réfrigération,1.32,34.1,5.3,2.77,1,0,1,0
2024-01-01 01:00:00,POMP-003,Pompe Hydraulique,5.98,31.0,33.3,2.72,1,0,1,0
2024-01-01 01:00:00,ELEC-004,Éclairage/Bureautique,1.56,37.8,5.2,3.65,1,0,1,0
2024-01-01 02:00:00,CLIM-001,Climatisation,4.15,32.7,3.5,2.89,2,0,1,0
2024-01-01 02:00:00,FRIG-002,Réfrigération,1.1,29.2,3.9,2.84,2,0,1,0
2024-01-01 02:00:00,POMP-003,Pompe Hydraulique,5.19,33.3,32.5,3.22,2,0,1,0
2024-01-01 02:00:00,ELEC-004,Éclairage/Bureautique,0.96,30.1,3.5,3.18,2,0,1,0
2024-01-01 03:00:00,CLIM-001,Climatisation,3.31,29.2,5.8,3.29,3,0,1,0
2024-01-01 03:00:00,FRIG-002,Réfrigération,1.19,31.3,6.0,3.1,3,0,1,0
2024-01-01 03:00:00,POMP-003,Pompe Hydraulique,9.58,52.0,58.9,3.33,3,0,1,1
2024-01-01 03:00:00,ELEC-004,Éclairage/Bureautique,1.02,27.8,4.8,3.01,3,0,1,0
2024-01-01 04:00:00,CLIM-001,Climatisation,3.58,33.6,4.8,2.83,4,0,1,0
2024-01-01 04:00:00,FRIG-002,Réfrigération,1.77,35.3,4.5,3.44,4,0,1,0
2024-01-01 04:00:00,POMP-003,Pompe Hydraulique,7.65,35.8,33.0,3.59,4,0,1,0
2024-01-01 04:00:00,ELEC-004,Éclairage/Bureautique,1.85,53.7,10.9,2.9,4,0,1,1
2024-01-01 05:00:00,CLIM-001,Climatisation,3.96,31.3,4.8,3.18,5,0,1,0
2024-01-01 05:00:00,FRIG-002,Réfrigération,1.22,34.4,5.0,2.38,5,0,1,0
2024-01-01 05:00:00,POMP-003,Pompe Hydraulique,6.07,38.2,30.5,3.19,5,0,1,0
2024-01-01 05:00:00,ELEC-004,Éclairage/Bureautique,1.07,32.1,5.8,2.6,5,0,1,0
2024-01-01 06:00:00,CLIM-001,Climatisation,4.92,33.0,6.4,2.89,6,0,1,0
2024-01-01 06:00:00,FRIG-002,Réfrigération,1.24,31.9,4.5,3.18,6,0,1,0
2024-01-01 06:00:00,POMP-003,Pompe Hydraulique,6.12,32.3,26.5,3.13,6,0,1,0
2024-01-01 06:00:00,ELEC-004,Éclairage/Bureautique,1.11,30.6,5.6,2.94,6,0,1,0
2024-01-01 07:00:00,CLIM-001,Climatisation,8.68,41.7,5.8,3.95,7,0,1,0
2024-01-01 07:00:00,FRIG-002,Réfrigération,3.71,50.3,4.7,4.64,7,0,1,0
